NO,Kode Barang,Barcode,Nama Barang,Satuan,Qty,Harga,Diskon,Diskon (Rupiah),Jual (Rupiah),Kategori Penjualan,Label Penjualan
197,200600026,8992959117569,SOFTEX DAUN SIRIH NON WING 23CM 8P,PCSS,7.0,6371.4285,0.0,Rp0,Rp44.600,Tidak Laris,3
198,201700091,8992959974544,SOFTEX DAUN SIRIH REG WING 23CM 8P,PCS,22.0,6328.571400000001,0.0,Rp0,Rp139.229,Sedang,2
199,301100002,8992959117590,SOFTEX DAUN SIRIH WING 20S,PCS,4.0,18100.0,0.0,Rp0,Rp72.400,Tidak Laris,3
200,200600022,8992959117606,SOFTEX DS N.WING 1P BD10,PCS,25.0,5500.0,0.0,Rp0,Rp137.500,Sedang,2
201,200600019,8992959080207,SOFTEX DS PANTYLINERS 20P,PCS,13.0,7200.0,0.0,Rp0,Rp93.600,Tidak Laris,3
202,200300030,8992959506028,SOFTEX MATERNITY 10P,PCSS,5.0,22000.0,0.0,Rp0,Rp110.000,Tidak Laris,3
203,201700071,8992959977064,SOFTEX NAT COOL 15P,PCS,1.0,16200.0,0.0,Rp0,Rp16.200,Tidak Laris,3
204,200267,8992959977071,SOFTEX NAT COOL 29CM 10S,PCS,4.0,16200.0,0.0,Rp0,Rp64.800,Tidak Laris,3
205,101500217,8992959977088,SOFTEX NAT COOL 36CM 8P,PCS,2.0,15300.0,0.0,Rp0,Rp30.600,Tidak Laris,3
206,203200015,8992959974155,SOFTEX PANTY SIRIH GREEN 20S,PCS,11.0,7609.0909,0.0,Rp0,Rp83.700,Tidak Laris,3
207,200266,8992959977095,SOFTEX PANTYLINER NAT COOL 32S,PCS,6.0,15800.0,0.0,Rp0,Rp94.800,Tidak Laris,3
208,201100108,8998866609180,SOKLIN LIQUID DET SOFT 720ML,PCS,7.0,18500.0,0.0,Rp0,Rp129.500,Tidak Laris,3
209,200400060,899886660915911,SOKLIN LIQUID SAC ALL VARIAN BD12,PCS,2087.0,5000.0,0.15,Rp1.565.250,Rp8.869.750,Laris,1
210,201100053,8998866805384,SOKLIN LIQUID SCARLET BLOSSOM 100ML,PCS,18.0,1900.0,0.0,Rp0,Rp34.200,Tidak Laris,3
211,202600239,89988666091661,SOKLIN LIQUID SOFTERGENT 40ML BD6,PCS,2.0,5500.0,0.0,Rp0,Rp11.000,Tidak Laris,3
212,201100054,8998866609869,SOKLIN LIQUID VIOLET BLOSSOM 100ML,PCS,15.0,1900.0,0.0,Rp0,Rp28.500,Tidak Laris,3
213,202100003,8998866604079,SOKLIN PEMUTIH BD6,BD,5.0,2600.0,0.0,Rp0,Rp13.000,Tidak Laris,3
214,201200196,89988666277021,SOKLIN PEWANGI COTTON FANTASY 780ML,PCS,3.0,10800.0,0.0,Rp0,Rp32.400,Tidak Laris,3
215,300050,8998866613651,SOKLIN PEWANGI HIJAB GREEN POUCH 800ML,PCS,3.0,9800.0,0.0,Rp0,Rp29.400,Tidak Laris,3
216,201100099,89988668037001,SOKLIN POW PURPLE BD6,BD,1.0,5200.0,0.0,Rp0,Rp5.200,Tidak Laris,3
217,201100073,8998866608565,SOKLIN POW SOFT ALL VARIANT 43g  BD6,PCS,78.0,5194.9152,0.1,Rp40.520,Rp364.683,Laris,1
218,202600231,8998866808231,SOKLIN POWDER SOFT PINK 425G,PCS,8.0,9500.0,0.0,Rp0,Rp76.000,Tidak Laris,3
219,201200137,8998866601863,SOKLIN PWG ALL VAR 320ML,PCS,1.0,4500.0,0.0,Rp0,Rp4.500,Tidak Laris,3
220,200748,8998866608206,SOKLIN PWG ALL VAR 65ML BD6,PCS,16.0,5425.0,0.0,Rp0,Rp86.800,Tidak Laris,3
221,201200141,8998866601849,SOKLIN PWG ALL VAR 800ML,PCS,3.0,9900.0,0.0,Rp0,Rp29.700,Tidak Laris,3
222,200700071,89988666083981,SOKLIN SFTNR ALL VARIANT BD12,PCS,19.0,5153.846100000001,0.0,Rp0,Rp97.923,Tidak Laris,3
223,200700003,89988666117871,SOKLIN SOFTENER ALL VAR 13ML BD 12,PCS,117.0,5252.9411,0.15,Rp92.189,Rp522.405,Laris,1
224,101000056,8998866203333,TOP AVOCADO COFFE R15,PCS,10.0,16210.0,0.0,Rp0,Rp162.100,Tidak Laris,3
225,101000032,8998866809689,TOP CAPPUCINO BD 15,PCS,7.0,18300.0,0.0,Rp0,Rp128.100,Tidak Laris,3
226,101500041,8998866203074,TOP COFEE BARISTA BD15,PCS,28.0,16057.1428,0.0,Rp0,Rp449.600,Sedang,2
227,101000045,8998866200745,TOP COFFE SUSU&MOCA BD12,PCS,50.0,15656.5217,0.05,Rp39.141,Rp743.685,Sedang,2
228,200500006,8998866108799,ZINC ALL VARIANT BD12,PCS,397.0,5701.7241,0.15,Rp339.538,Rp1.924.047,Laris,1
